Nodo;Latitud;Longitud;Direccion
147;25.7382274;-100.3971689;ESCONDIDA 178 CUMBRES STA CLAR MTY 64349 Monterrey Mexico
148;25.7376796;-100.4067002;CERRADA CUMBRE 106 BARRIO C URB SOL MTY 64349 Monterrey Mexico
149;25.736507;-100.3343527;PRIVADA 30 DE A 7039 TOPOCHICO 5TO. SECTOR 64260 Monterrey Mexico
150;25.736394;-100.284552;N29 324 METROPLEX 4 66465 Escobedo Mexico
151;25.7357201;-100.3546823;ZEMPOALA 211 UNIDAD MODELO MTY 64140 Monterrey Mexico
152;25.7355483;-100.3072755;SOR JUANA INES 109 ANAHUAC SAN 66450 San Nicolas Mexico
153;25.7354995;-100.2389293;CHALAHUITE 334 JARD D CASA BLAN SAN 66475 San Nicolas Mexico
154;25.7352186;-100.2829194;PRIV 20 NTE 617 LAS PUENTES III SAN 66460 San Nicolas Mexico
155;25.7350297;-100.3345939;PRIVADA APODACA 2132 TOPOCHICO 5TO. SECTOR 64260 Monterrey Mexico
156;25.7349892;-100.2139316;C SAN MARINO 1214 RESID SAN CRISTO SAN 66478 San Nicolas Mexico
157;25.7347929;-100.3163975;TLALPAN 440 VALLE DE ANAHUAC 66450 San Nicolas Mexico
158;25.7335901;-100.283831;CALLE 23 615 LAS PUENTES III SAN 66460 San Nicolas Mexico
159;25.7335685;-100.3385135;ZOCALO 6141 LOMA BONITA MTY 64250 Monterrey Mexico
160;25.7332138;-100.2252606;SAN VALENTIN 1402 FRACCIONAMIENTO QUINTA MONTECA 66478 San Nicolas Mexico
161;25.7331319;-100.2428389;GUAMUCHIL 201 JARD D CASA BLAN SAN 66475 San Nicolas Mexico
162;25.7330495;-100.2284717;0 VALLE D CASA BLA SAN 66478 San Nicolas Mexico
163;25.7330405;-100.3798944;0 0 RESID CUMBRES MTY 64619 Monterrey Mexico
164;25.7325177;-100.2670231;JUAN SARABIA 149 PEDREGAL STO DOM SAN 66444 San Nicolas Mexico
165;25.7301355;-100.2974795;MISION DE SAN A 218 MISION SAN JOSE 66465 San Nicolas Mexico
166;25.7297448;-100.2716923;FINLANDESES 417 CARMEN ROMANO 66444 San Nicolas Mexico
167;25.7290504;-100.3468104;20 DE ENERO 6121 16 DE SEPTIEMBRE MTY 64160 Monterrey Mexico
168;25.728705;-100.2474725;CACERES 601 COSTA DEL SOL SAN 66470 San Nicolas Mexico
169;25.7276045;-100.3532609;FRAY ANGELICO 5925 CONDOCASA MITRAS MTY 64170 Monterrey Mexico
170;25.7269745;-100.2663551;ZARZAL 548 IND NOGALAR SAN 66484 San Nicolas Mexico
171;25.7269031;-100.21807;LAGO DE XOCHIMI 102 HACIENDA LAS FUENTES 66477 San Nicolas Mexico
172;25.7262534;-100.2421109;10 DE MAYO 136 ESTANCIA MINERA SAN 66476 San Nicolas Mexico
173;25.7254204;-100.3592085;C EVEREST 4837 VILLA MITRAS 1 S MTY 64170 Monterrey Mexico
174;25.7251932;-100.3414934;MIGUEL C ABASTA 2444 FERROCARRILERA 2 64250 Monterrey Mexico
175;25.7245587;-100.2347789;ANGELES 210 PASEO D LS ANGEL SAN 66470 San Nicolas Mexico
176;25.7242617;-100.3614591;CARMEN FLORES 4855 GRACIANO BORTONI MTY 64178 Monterrey Mexico
177;25.7240339;-100.2627635;MARATHON 405 DEP LA GRANJE SAN 66490 San Nicolas Mexico
178;25.7228557;-100.3604038;AV LINCOLN 2503 SAN JOSE MTY 64270 Monterrey Mexico
179;25.7225104;-100.3600483;AV ABRAHAM LINC 2501 AMP SAN JORGE MTY 64330 Monterrey Mexico
180;25.7223335;-100.26459;XOCHITL 415 AZTECA SAN 66480 San Nicolas Mexico
181;25.7219211;-100.3645271;AV ADOLFO RUIZ 5220 AMP SAN JORGE MTY 64330 Monterrey Mexico
182;25.721665;-100.3448449;JOJUTLA 201 NUEVA MORELOS MTY 64180 Monterrey Mexico
183;25.7212749;-100.2916336;DA VINCI 466 JARD DE NOGALAR SAN 66486 San Nicolas Mexico
184;25.7209782;-100.2689628;MEXICA 117 AZTECA SAN 66480 San Nicolas Mexico
185;25.7208158;-100.2670231;C AZUCENA 229 AZTECA SAN 66480 San Nicolas Mexico
186;25.7207031;-100.2537488;MATIAS RODRIGUE 600 CONST QRO III 66490 San Nicolas Mexico
187;25.7200353;-100.2516606;DAVID PENA FLOR 629 CONST QRO III 66490 San Nicolas Mexico
188;25.7183969;-100.2543682;JOSE VILLASE#OR 416 CONST QRO III 66490 San Nicolas Mexico
189;25.7180647;-100.2215298;NICOLAS BRAVO 207 MIGUEL ALEMAN 66470 San Nicolas Mexico
190;25.7180447;-100.2237875;OCASO 132 LOS PARQUES 66023 Monterrey Mexico
191;25.7177452;-100.3727522;5 LOS PINOS 4218 LOS CEDROS MTY 64370 Monterrey Mexico
192;25.7170553;-100.2097387;DEL DURAZNO 210 PARQUE LA TALAVE SAN 66473 San Nicolas Mexico
193;25.7167656;-100.3646796;GREGORIO MORALE 5105 VALLE VERDE 3 SE MTY 64339 Monterrey Mexico
194;25.7166574;-100.2304646;AV UNION 949 PARQUE LA TALAVE SAN 66473 San Nicolas Mexico
195;25.7155602;-100.2586104;AND MARTIRES DE 919 CONST. QRO IV 66490 San Nicolas Mexico
196;25.7150206;-100.2971749;PRIV ESCUELA 411 GARZA CANTU MTY 66480 Monterrey Mexico
197;25.7147291;-100.1809606;MANDARINO 217 FRACC LOS FRESNOS APO 66465 San Nicolas Mexico
198;25.714061;-100.3443288;RIO NILO 155 MITRAS NORTE MTY 64320 Monterrey Mexico
