from;to;distancia;tiempo
4;21;15.6;00:22
4;22;16.7;00:24
4;23;16.73;00:26
4;24;11.88;00:16
4;25;16.54;00:26
4;26;12.73;00:22
4;27;7.52;00:15
4;28;7.22;00:14
4;29;10.43;00:15
4;30;12.27;00:18
4;31;16.68;00:24
4;32;7.69;00:16
4;33;8.16;00:17
4;34;16.56;00:24
4;35;18.54;00:25
4;36;19.82;00:24
4;37;8.03;00:16
4;38;13.15;00:22
4;39;8.35;00:17
4;40;14.86;00:18
4;41;13.65;00:22
4;42;14.94;00:18
4;43;29.55;00:34
4;44;13.88;00:21
4;45;15.25;00:19
4;46;28.23;00:29
4;47;17.61;00:26
4;48;9.83;00:22
4;49;9.61;00:19
4;50;20.12;00:26
4;51;9.83;00:20
4;52;28.24;00:29
4;53;13.69;00:24
4;54;31.14;00:36
4;55;15.72;00:25
4;56;14.54;00:23
4;57;11.38;00:22
4;58;9.88;00:22
4;59;31.59;00:38
4;60;9.83;00:20
4;61;31.36;00:35
4;62;28.41;00:28
4;63;32.21;00:40
4;64;13.48;00:26
4;65;12.71;00:25
4;66;29.25;00:32
4;67;12.34;00:23
4;68;28.82;00:29
4;69;12.24;00:24
4;70;15.89;00:25
4;71;12.09;00:23
4;72;15.87;00:25
4;73;12.6;00:24
4;74;31.12;00:37
4;75;15.97;00:25
4;76;29.25;00:31
4;77;31.98;00:38
4;78;31.37;00:31
4;79;20.37;00:24
4;80;32.06;00:39
4;81;29.1;00:27
4;82;16.63;00:26
4;83;29.83;00:29
4;84;30.4;00:31
4;85;29.7;00:30
4;86;20.87;00:26
4;87;30.57;00:35
4;88;33.42;00:39
4;89;31.33;00:37
4;90;16.91;00:27
4;91;12.72;00:25
4;92;17.82;00:29
4;93;30.41;00:31
4;94;31.62;00:37
4;95;12.65;00:25
4;96;30.8;00:35
4;97;13.47;00:28
4;98;21.55;00:26
4;99;33.4;00:40
4;100;21.93;00:27
4;101;30.05;00:29
4;102;12.83;00:25
4;103;32.9;00:40
4;104;32.61;00:36
4;105;22.22;00:29
4;106;13.37;00:27
4;107;31.46;00:31
4;108;34.14;00:40
4;109;30.99;00:32
4;110;32.32;00:34
4;111;30.24;00:29
4;112;34.05;00:40
4;113;33.58;00:39
4;114;34.58;00:42
4;115;38.87;00:37
4;116;13.65;00:28
4;117;31.47;00:34
4;118;32.85;00:40
4;119;33.48;00:39
4;120;34.3;00:41
4;121;31.65;00:33
4;122;32.39;00:36
4;123;30.57;00:28
4;124;14.13;00:29
4;125;14.18;00:30
4;126;14.49;00:30
4;127;41.61;00:44
4;128;24.21;00:30
4;129;39.13;00:42
4;130;24.34;00:34
4;131;14.18;00:28
4;132;14.75;00:32
4;133;32.17;00:35
4;134;41.31;00:43
4;135;43.07;00:44
4;136;32.47;00:34
4;137;42.89;00:44
4;138;24.93;00:30
4;139;18.99;00:29
4;140;42.13;00:44
4;141;31.96;00:32
4;142;33.81;00:38
4;143;33.07;00:33
4;144;38.81;00:41
4;145;32.18;00:35
4;146;33.48;00:37
4;147;25;00:33
4;148;24.72;00:31
4;149;20.18;00:31
4;150;33.14;00:36
4;151;15.56;00:32
4;152;32.33;00:32
4;153;41.06;00:41
4;154;33.44;00:38
4;155;20.47;00:32
4;156;38.9;00:33
4;157;33.23;00:33
4;158;33.6;00:38
4;159;16.92;00:35
4;160;40.37;00:38
4;161;40.85;00:40
4;162;40.45;00:37
4;163;25.54;00:31
4;164;37.99;00:40
4;165;33.65;00:35
4;166;37.28;00:38
4;167;16.61;00:34
4;168;41.74;00:42
4;169;17.21;00:35
4;170;38.03;00:41
4;171;40.36;00:37
4;172;42.88;00:41
4;173;17.63;00:36
4;174;16.84;00:35
4;175;41.87;00:39
4;176;27.76;00:36
4;177;39.44;00:40
4;178;27.67;00:36
4;179;18.15;00:36
4;180;39.19;00:41
4;181;27.55;00:34
4;182;17.44;00:35
4;183;34.2;00:33
4;184;39.4;00:42
4;185;38.94;00:40
4;186;40.17;00:42
4;187;40.17;00:42
4;188;40.13;00:41
4;189;41.36;00:36
4;190;41.4;00:37
4;191;28.31;00:36
4;192;42.18;00:43
4;193;27.69;00:34
4;194;41.77;00:37
4;195;40.39;00:40
4;196;35.19;00:36
4;197;41.7;00:44
4;198;18.12;00:36
5;0;17.1;00:35
5;1;36.07;00:38
5;2;2.26;00:07
5;3;1.88;00:05
5;4;3.76;00:11
5;5;0;00:00
5;6;18.87;00:27
5;7;24.24;00:32
5;8;18.85;00:26
5;9;20.93;00:29
5;10;9.32;00:19
5;11;18.36;00:26
5;12;11.25;00:20
5;13;8.65;00:20
5;14;8.26;00:18
5;15;11.62;00:22
5;16;12.46;00:23
5;17;12.51;00:24
5;18;26.69;00:35
5;19;18.66;00:27
5;20;12.39;00:18
5;21;11.97;00:22
5;22;10.07;00:24
5;23;13.1;00:26
5;24;11.88;00:16
5;25;12.91;00:26
5;26;9.1;00:21
5;27;7.52;00:17
5;28;7.22;00:16
5;29;10.43;00:15
5;30;12.27;00:18
5;31;13.05;00:24
5;32;7.69;00:18
5;33;8.16;00:19
5;34;12.93;00:25
5;35;14.91;00:25
5;36;21.17;00:28
5;37;8.03;00:18
5;38;9.52;00:21
5;39;8.36;00:19
5;40;16.21;00:22
5;41;10.02;00:21
5;42;16.28;00:22
5;43;20.06;00:36
5;44;10.24;00:20
5;45;14.14;00:20
5;46;18.74;00:32
5;47;13.98;00:26
5;48;9.84;00:23
5;49;9.61;00:21
5;50;17.42;00:26
5;51;9.84;00:21
5;52;18.75;00:32
5;53;13.69;00:24
5;54;25.57;00:37
5;55;12.08;00:24
5;56;10.91;00:22
5;57;11.38;00:23
5;58;9.89;00:23
5;59;26.01;00:38
5;60;9.83;00:21
5;61;21.87;00:38
5;62;18.92;00:30
5;63;26.64;00:40
5;64;18.19;00:27
5;65;12.72;00:26
5;66;19.76;00:34
5;67;12.35;00:25
5;68;19.33;00:31
5;69;12.25;00:25
5;70;12.25;00:24
5;71;12.09;00:25
5;72;12.23;00:24
5;73;12.61;00:25
5;74;21.63;00:39
5;75;12.34;00:24
5;76;19.76;00:33
5;77;27.4;00:42
5;78;21.88;00:34
5;79;17.67;00:24
5;80;27.8;00:42
5;81;19.61;00:29
5;82;12.99;00:25
5;83;20.34;00:31
5;84;20.91;00:33
5;85;20.22;00:32
5;86;18.16;00:25
5;87;21.08;00:37
5;88;27.84;00:40
5;89;21.84;00:39
5;90;13.28;00:26
5;91;12.72;00:27
5;92;14.19;00:28
5;93;20.92;00:33
5;94;22.13;00:40
5;95;12.66;00:27
5;96;21.31;00:38
5;97;21.21;00:31
5;98;18.84;00:25
5;99;27.83;00:40
5;100;19.22;00:27
5;101;20.56;00:32
5;102;12.83;00:27
5;103;23.41;00:42
5;104;23.12;00:39
5;105;19.52;00:28
5;106;13.37;00:29
